ver 1.0

*,type=SCRWIND_0000,NOWINDOW,kind,NoTex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,text_col,0x00&0x00&0x00,shadow,0x25&0x25&0x25,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,font,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,top,0&150,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,mid,0&554,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,bot,0&958,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00001_Center,0&148,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00002_Center,0&176,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00003_Center,0&204,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00004_Center,0&232,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00005_Center,0&260,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00006_Center,0&288,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00007_Center,0&316,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00008_Center,0&344,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00009_Center,0&372,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00010_Center,0&400,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00011_Center,0&428,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00012_Center,0&456,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00013_Center,0&484,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00014_Center,0&512,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00015_Center,0&540,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00016_Center,0&568,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00017_Center,0&596,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00018_Center,0&624,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00019_Center,0&652,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00020_Center,0&680,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00021_Center,0&708,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00022_Center,0&736,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00023_Center,0&764,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00024_Center,0&792,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00025_Center,0&820,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00026_Center,0&848,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00027_Center,0&876,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00028_Center,0&904,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00029_Center,0&932,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW,form,00030_Center,0&960,640&0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW2,kind,NoTex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW2,text_col,0xff&0xff&0xff,shadow,0x00&0x00&0x00,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=SCRWIND_0000,NOWINDOW2,font,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
