ver 1.0

*,type=LAYOUT_0000,tame_wolf_01,origin,origin,0,185,550,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,type,lage,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,type,middle,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,face,fu,navi_chara_bf2_tame01_0.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_0.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,face,ki,navi_chara_bf2_tame01_1.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_1.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,face,do,navi_chara_bf2_tame01_2.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_2.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,face,ai,navi_chara_bf2_tame01_3.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_3.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,face,bi,navi_chara_bf2_tame01_4.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_4.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,face,ku,navi_chara_bf2_tame01_5.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_5.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,offset,manpu_1,0,20,40,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01,offset,manpu_1_re,0,200,40,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,origin,origin,0,87,-110,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,type,lage,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,type,middle,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,face,fu,navi_chara_bf2_tame01_0.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_0.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,face,ki,navi_chara_bf2_tame01_1.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_1.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,face,do,navi_chara_bf2_tame01_2.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_2.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,face,ai,navi_chara_bf2_tame01_3.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_3.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,face,bi,navi_chara_bf2_tame01_4.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_4.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,face,ku,navi_chara_bf2_tame01_5.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame01_5.png,-1,-1,-1,-1,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,offset,manpu_1,0,20,40,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_wolf_01_b,offset,manpu_1_re,0,200,40,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_dragon_01,origin,origin,0,185,620,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_dragon_01,type,lage,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_dragon_01,type,middle,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=LAYOUT_0000,tame_dragon_01,face,fu,navi_chara_bf2_tame02_0.png,0,0,-1,-1,-1,-1,thum_navi_chara_bf2_tame2_0.png,-1,-1,-1,-1,0,0,0,#
