ver 1.0

*,type=EDGINF_0000,MN0000,PNG,unit_anime_1002410.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,CGG,unit_cgg_1002410.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,idle,unit_idle_cgs_1002410.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,move,unit_move_cgs_1002410.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,atk,unit_atk_cgs_1002410.csv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,skill,unit_idle_cgs_1002410.csv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,win_bf,unit_win_before_cgs_1002410.csv,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,win,unit_win_cgs_1002410.csv,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,break,unit_idle_cgs_1002410.csv,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,MN0000,dead,unit_idle_cgs_1002410.csv,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,登録名,種別,ファイル,考え中,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,PNG,unit_anime_1000122.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,CGG,unit_cgg_1000122.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,idle,unit_idle_cgs_1000122.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,move,unit_move_cgs_1000122.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,atk,unit_atk_cgs_1000122.csv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,skill,unit_idle_cgs_1000122.csv,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,win_bf,unit_win_before_cgs_1000122.csv,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PY0000,win,unit_win_cgs_1000122.csv,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PYPOS,1,PY0000,PY0000,PY0000,PY0000,PY0000,PY0000,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,PYPOS,2,PY0000,PY0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,ENPOS,1,MN0000,MN0000,MN0000,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,ENPOS,3,0,MN0000,MN0000,MN0000,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,ENPOS,2,MN0000,MN0000,MN0000,MN0000,MN0000,MN0000,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,UNIT100,PNG,unit_anime_1002412.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,UNIT100,CGG,unit_cgg_1002412.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,UNIT100,idle,unit_idle_cgs_1002412.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,UNIT100,move,unit_move_cgs_1002412.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,UNIT100,atk,unit_atk_cgs_1002412.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,DROP00,PNG,drop_battle_crystal.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,DROP00,CGG,drop_battle_crystal_cgg.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#
*,type=EDGINF_0000,DROP00,idle,drop_battle_crystal_cgs.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#

