ver 1.0

*,type=PRMTBL_0000,$BGM_FADEIN_TIME,0.125,#
*,type=PRMTBL_0000,$BGM_FADEOUT_TIME,0.125,#
*,type=PRMTBL_0000,$BGM_TEST,bf005_worldmap.acb,#
*,type=PRMTBL_0000,$MANP_anger_a,emote_icon_animation.ssbp&anger_a/anime&anger_a.png,#
*,type=PRMTBL_0000,$MANP_anger_b,emote_icon_animation.ssbp&anger_b/anime&anger_b.png,#
*,type=PRMTBL_0000,$MANP_crumpled_a,emote_icon_animation.ssbp&crumpled_a/anime&crumpled_a.png,#
*,type=PRMTBL_0000,$MANP_doubt_black_a,emote_icon_animation.ssbp&doubt_black_a/anime&doubt_black_a.png,#
*,type=PRMTBL_0000,$MANP_doubt_black_b,emote_icon_animation.ssbp&doubt_black_b/anime&doubt_black_b.png,#
*,type=PRMTBL_0000,$MANP_doubt_red_a,emote_icon_animation.ssbp&doubt_red_a/anime&doubt_red_a.png,#
*,type=PRMTBL_0000,$MANP_doubt_red_b,emote_icon_animation.ssbp&doubt_red_b/anime&doubt_red_b.png,#
*,type=PRMTBL_0000,$MANP_heart_a,emote_icon_animation.ssbp&heart_a/anime&heart_a.png,#
*,type=PRMTBL_0000,$MANP_light_a,emote_icon_animation.ssbp&light_a/anime&light_a.png,#
*,type=PRMTBL_0000,$MANP_note_a,emote_icon_animation.ssbp&note_a/anime&note_a.png,#
*,type=PRMTBL_0000,$MANP_silence_a,emote_icon_animation.ssbp&silence_a/anime&silence_a.png,#
*,type=PRMTBL_0000,$MANP_sleep_a,emote_icon_animation.ssbp&sleep_a/anime&sleep_a.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_a,emote_icon_animation.ssbp&surprise_black_a/anime&surprise_black_a.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_b,emote_icon_animation.ssbp&surprise_black_b/anime&surprise_black_b.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_c,emote_icon_animation.ssbp&surprise_black_c/anime&surprise_black_c.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_d,emote_icon_animation.ssbp&surprise_black_d/anime&surprise_black_d.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_a,emote_icon_animation.ssbp&surprise_red_a/anime&surprise_red_a.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_b,emote_icon_animation.ssbp&surprise_red_b/anime&surprise_red_b.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_c,emote_icon_animation.ssbp&surprise_red_c/anime&surprise_red_c.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_d,emote_icon_animation.ssbp&surprise_red_d/anime&surprise_red_d.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_a_02,emote_icon_animation.ssbp&surprise_black_a_02/anime&surprise_black_a.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_b_02,emote_icon_animation.ssbp&surprise_black_b_02/anime&surprise_black_b.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_c_02,emote_icon_animation.ssbp&surprise_black_c_02/anime&surprise_black_c.png,#
*,type=PRMTBL_0000,$MANP_surprise_black_d_02,emote_icon_animation.ssbp&surprise_black_d_02/anime&surprise_black_d.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_a_02,emote_icon_animation.ssbp&surprise_red_a_02/anime&surprise_red_a.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_b_02,emote_icon_animation.ssbp&surprise_red_b_02/anime&surprise_red_b.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_c_02,emote_icon_animation.ssbp&surprise_red_c_02/anime&surprise_red_c.png,#
*,type=PRMTBL_0000,$MANP_surprise_red_d_02,emote_icon_animation.ssbp&surprise_red_d_02/anime&surprise_red_d.png,#
*,type=PRMTBL_0000,$MANP_sweat_a,emote_icon_animation.ssbp&sweat_a/anime&sweat_a.png,#
*,type=PRMTBL_0000,$CHARA_FadeTime,T$0.3,#
*,type=PRMTBL_0000,$FACE_FadeTime,0.0,#
*,type=PRMTBL_0000,$SCTP_AREA,1,#
*,type=PRMTBL_0000,$SCTP_MISSION,2,#
*,type=PRMTBL_0000,$SCTP_BTL,3,#
*,type=PRMTBL_0000,$SCTP_GIMMICK,4,#
*,type=PRMTBL_0000,$EVTM_START,1,#
*,type=PRMTBL_0000,$EVTM_CMP,2,#
*,type=PRMTBL_0000,$EVTM_FAIL,3,#
*,type=PRMTBL_0000,$EVTM_BTL,4,#
*,type=PRMTBL_0000,$EVTM_GIVEUP,5,#
*,type=PRMTBL_0000,$MSNR_CLEAR,2,#
*,type=PRMTBL_0000,$MSNR_RETIRE,3,#
*,type=PRMTBL_0000,$MINIGAME_CLEAR,2,#
*,type=PRMTBL_0000,$MINIGAME_MISS,3,#
*,type=PRMTBL_0000,$MINIGAME_GIVEUP,5,#
*,type=PRMTBL_0000,$ZOOMTIME,0.5,#
*,type=PRMTBL_0000,$BGBLACK_X,-156,#
*,type=PRMTBL_0000,$BGBLACK_Y,0.0,#
*,type=PRMTBL_0000,$BGBLACK_W,952,#
*,type=PRMTBL_0000,$BGBLACK_H,1136,#
*,type=PRMTBL_0000,$BGBLACK_Color,0&0&0,#
*,type=PRMTBL_0000,$BGBLACK_Alpha,255,#
*,type=PRMTBL_0000,$BGBLACK_Z,Z$0,#
*,type=PRMTBL_0000,$BGBLACK_T,T$0.0,#
*,type=PRMTBL_0000,$BGWHITE_X,-156,#
*,type=PRMTBL_0000,$BGWHITE_Y,0.0,#
*,type=PRMTBL_0000,$BGWHITE_W,952,#
*,type=PRMTBL_0000,$BGWHITE_H,1136,#
*,type=PRMTBL_0000,$BGWHITE_Color,255&255&255,#
*,type=PRMTBL_0000,$BGWHITE_Alpha,255,#
*,type=PRMTBL_0000,$BGWHITE_Z,Z$0,#
*,type=PRMTBL_0000,$BGWHITE_T,T$0.0,#
*,type=PRMTBL_0000,$lage,S$0.85,#
*,type=PRMTBL_0000,$middle,S$0.8,#
*,type=PRMTBL_0000,$POS_Center,P$320&1186,#
*,type=PRMTBL_0000,$POS_Monitor_Center,P$320&360,#
*,type=PRMTBL_0000,$POS_Monitor_Center_Large,P$320&330,#
*,type=PRMTBL_0000,$OFS_Center,OFS$0&0,#
*,type=PRMTBL_0000,$OFS_Left,OFS$-160&0,#
*,type=PRMTBL_0000,$OFS_Right,OFS$160&0,#
*,type=PRMTBL_0000,$OFS_Left_Twin,OFS$-160&0,#
*,type=PRMTBL_0000,$OFS_Right_Twin,OFS$160&0,#
*,type=PRMTBL_0000,$OFS_Left_Triple,OFS$-250&0,#
*,type=PRMTBL_0000,$OFS_Right_Triple,OFS$250&0,#
*,type=PRMTBL_0000,$OFS_Monitor_Center_under,OFS$0&450,#
*,type=PRMTBL_0000,$OFS_Monitor_Left_under,OFS$-160&450,#
*,type=PRMTBL_0000,$OFS_Monitor_Right_under,OFS$160&450,#
*,type=PRMTBL_0000,$OFS_Gustavframe,OFS$-107&-326,#
*,type=PRMTBL_0000,$BTLPOS_Center,P$320&200,#
*,type=PRMTBL_0000,$BTLPOS_Left,P$160&200,#
*,type=PRMTBL_0000,$BTLPOS_Right,P$480&200,#
*,type=PRMTBL_0000,$BTLPOS_Monitor_Center,P$320&420,#
